COUNTY_ID,DIST_ID,COUNTY_NAME,DISTRICT_NAME,2010_11_TOTAL,2011_12_TOTAL,2012_13_TOTAL,2013_14_TOTAL,2014_15_TOTAL,2015_16_TOTAL,DIFFERENCE
80,6018,CHARTERS,Central Jersey College Prep Charter School,285,318,313,306,316,420,135
3,5430,BERGEN,WALLINGTON BORO,1156,1037,1193.5,1165.5,1280.5,1293.5,137.5
41,4100,WARREN,PHILLIPSBURG TOWN,3625,3656,3667,3681,3721.5,3763,138
31,3970,PASSAIC,PASSAIC CITY,13289,13140,14173,13926,13187,13428,139
33,4635,SALEM,SALEM CO SPECIAL SERVICE,100,99,85,175.5,210,239,139
23,4660,MIDDLESEX,SAYREVILLE BORO,5927,5681.5,5964,6002.5,6023,6067.5,140.5
5,3690,BURLINGTON,NORTHERN BURLINGTON REG,1906,1966,1987,2085,2113,2047,141
3,3600,BERGEN,NORTH ARLINGTON BORO,1623,1645,1694,1761,1730,1767.5,144.5
21,4255,MERCER,PRINCETON REGIONAL,3396,3343,3405,3406.5,3540,3541.5,145.5
3,3910,BERGEN,PALISADES PARK,1511,1371,1583,1617,1603,1659,148
39,5090,UNION,SUMMIT CITY,3941.5,4049,4110,4112.5,4060.5,4091.5,150
35,4810,SOMERSET,SOMERSET CO VOCATIONAL,378,460.5,558.5,551.5,443.5,529,151
17,2060,HUDSON,HARRISON TOWN,1975,2031,2076,2036,2097,2128,153
80,6069,CHARTERS,Millville Public Charter School,,96,135,180,216,249,153
80,6068,CHARTERS,M E T S Charter School,,320,396,480,534,475,155
41,5460,WARREN,WARREN COUNTY VOCATIONAL,318,452,466,444,484,478,160
23,2150,MIDDLESEX,HIGHLAND PARK BORO,1451,1462.5,1538.5,1592,1616,1612,161
3,2090,BERGEN,HAWORTH BORO,256,436,427,436,407,419,163
13,1390,ESSEX,ESSEX CO VOC-TECH,2062,2389,2161,2196.5,2240,2225,163
27,785,MORRIS,SCH DIST OF THE CHATHAMS,3988,4056.5,4110,4124,4110,4154,166
3,2080,BERGEN,HASBROUCK HEIGHTS BORO,1697,1758,1892,1870,1871.5,1864.5,167.5
80,6022,CHARTERS,Burch Charter School of Excellence,182,260,347,342,357,353,171
80,7115,CHARTERS,Learning Community CS,413,492,541,570,581,584,171
80,6096,CHARTERS,Paterson Arts and Science Charter School,,,,305,420,480,175
3,300,BERGEN,BERGENFIELD BORO,3329,3486.5,3510.5,3505,3440,3505.5,176.5
80,6028,CHARTERS,Vineland Public Charter School,156,189,223,264,300,336,180
17,5670,HUDSON,WEST NEW YORK TOWN,7578,7803,7854,8269,8372,7759,181
37,5110,SUSSEX,SUSSEX COUNTY VOCATIONAL,588.5,655.5,717.5,772,765.5,774.5,186
39,3560,UNION,NEW PROVIDENCE BORO,2199,1879,2265,2338,2345.5,2386,187
80,6103,CHARTERS,Empowerment Academy Charter School,,,,,,190,190
3,1380,BERGEN,ENGLEWOOD CLIFFS BORO,357,364,491,509,547,548,191
3,1470,BERGEN,FAIRVIEW BORO,1141,1195,1214,1269,1311,1333,192
13,2730,ESSEX,LIVINGSTON TWP,5709,5714,5783.5,5841.5,5870.5,5902,193
15,1775,GLOUCESTER,GLOUCESTER CO VOCATIONAL,1138,1217.5,1275,1319,1339,1331.5,193.5
